run,svm_orig_C,svm_orig_gamma,svm_prep_C,svm_prep_gamma,rfr_orig_n_estimators,rfr_orig_max_depth,rfr_orig_min_samples_split,rfr_prep_n_estimators,rfr_prep_max_depth,rfr_prep_min_samples_split
0,435.4539450763108,0.0001,372.39353772944605,0.0001,226,57,30,56,53,47
1,21.89004894739302,0.0015501745533579,377.030328616042,0.0001,77,57,29,490,4,22
2,280.747070013656,0.0002497239602838,366.3167699832128,0.0001,335,28,29,285,4,48
3,422.2577593978102,0.0001,13.321253164447686,0.003308210415222,14,33,34,198,68,47
4,288.14642022573884,0.0001,359.11420032899747,0.0001,50,43,26,10,5,50
5,651.2740133487092,0.0001,314.6275179352943,0.0005594157995933,349,35,30,342,4,32
6,324.9700442167242,0.0013606972891308,339.6175477749809,0.0001,222,92,27,88,29,47
7,136.93249294962604,0.0002025206436816,396.2947610641746,0.0001,12,7,31,440,4,19
8,301.3242562300155,0.0011095141122525,337.71115389150003,0.0001,487,6,30,499,5,47
9,198.3751394334517,0.0001,427.23194632380415,0.0001,438,32,31,85,32,48
10,23.878018942602647,0.0034250792793176,344.8315577773882,0.0001,50,21,30,76,4,30
11,366.6150839223804,0.0001,421.455967138413,0.0001,328,59,28,486,4,46
12,252.88878965354647,0.0015973639548928,292.3703935413601,0.0004270642727222,372,29,30,384,4,48
13,246.6995230711284,0.0001,386.0337024405285,0.0001,320,38,29,10,95,50
14,617.177554737027,0.0001,363.1725497541794,0.0001,365,52,27,26,16,48
15,350.76343623340125,0.0010425294203138,351.3793345458971,0.0001,438,14,30,22,5,47
16,392.1022897580746,0.0001,390.62069020393113,0.0001,380,43,28,19,17,48
17,8.58547673297631,0.0081498386691766,368.3518680798536,0.0001,108,5,26,162,5,45
18,325.0149896275394,0.0014497274834772,351.2640558029645,0.0001,342,7,28,412,23,46
19,7.184219281153924,0.0027527352863494,89.80374447483334,0.0004727957253741,330,24,29,335,35,46
20,342.6388346114304,0.0001,313.0989397051105,0.0005772276668591,201,18,27,10,19,47
21,194.924969954652,0.0023092524856355,437.1092791278695,0.0001,44,62,29,28,35,50
22,244.76265719963564,0.0001,392.7450851648246,0.0001,22,5,34,22,51,48
23,314.68750202037745,0.0001,333.2327360858774,0.0001,473,66,31,75,9,49
24,368.7500855344056,0.0001,391.8662577056978,0.0001,336,8,29,317,4,26
25,8.76109247707599,0.00225249847429,346.86753779302035,0.0001,87,74,33,10,5,50
26,414.82659169205584,0.0001,15.837248840479122,0.0041964752998066,373,72,29,309,4,21
27,298.5132892177126,0.0001,392.73068949750666,0.0001,161,81,29,210,90,46
28,206.8552528040158,0.0001,391.19639564256437,0.0001,37,6,32,112,68,48
29,210.65570716660147,0.0001,327.26750944533956,0.0001,12,50,34,12,5,49
