,media,desvio_padrao
run,14.5,8.803408430829505
svm_orig_R2,0.8328770860203801,0.003271154081069979
svm_orig_MAE,0.8899331212672498,0.03142089581867861
svm_orig_MSE,2.4938648567581563,0.048813271678689436
svm_prep_R2,0.8272913209267461,0.00029055450752746254
svm_prep_MAE,0.8639274715323069,0.0036306808272169922
svm_prep_MSE,2.577217539723101,0.004335752997843104
rfr_orig_R2,0.8565623634971959,0.0024274065148310086
rfr_orig_MAE,0.8966783860081006,0.00747124751867536
rfr_orig_MSE,2.14042510564659,0.03622258406253648
rfr_prep_R2,0.8253694429397288,0.002465012871366366
rfr_prep_MAE,0.9713432572154445,0.013596379730379297
rfr_prep_MSE,2.605896455478387,0.036783758881243085
